site_id,target,mae_baseline,mae_model,mape_baseline,mape_model
S1,units_produced,72.2,66.46781158447266,0.05606930501933886,0.05163719608219937
S1,power_kwh,641.9333333333333,286.9672546386719,0.14191091061600758,0.06250096023196625
S2,units_produced,146.66666666666666,82.7962646484375,0.0966843925220628,0.05297483265571345
S2,power_kwh,510.26666666666665,301.1178894042969,0.10303977719056302,0.06045403028775135
S3,units_produced,130.8,57.70917892456055,0.11899979219528627,0.051985565722288754
S3,power_kwh,467.46666666666664,195.61575317382812,0.11922279357465136,0.049156206733659405
S4,units_produced,134.93333333333334,75.81625366210938,0.10036582013214311,0.0547677658740403
S4,power_kwh,571.2666666666667,223.92117309570312,0.11118217498955599,0.04706832943056734
